Materials-1,Materials-2,Electrolyte concentration ,Electrolyte,ElectrodeConfiguration,Cell Configuration,Voltagewindow ,Specific surface area ,Pore volume ,Pore size ,Scan rate,Current density,CycleNumber,Capacitance 
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,0.30,2500,23.55
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,0.35,2500,22.62
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,0.40,2500,21.40
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,0.45,2500,20.80
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,0.50,2500,20.37
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,0.55,2500,20.43
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,0.60,2500,20.35
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,0.65,2500,20.08
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,0.70,2500,20.07
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,0.75,2500,19.81
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,0.80,2500,19.81
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,0.85,2500,19.59
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,0.90,2500,19.54
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,0.95,2500,19.56
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,1.00,2500,19.27
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,1.05,2500,19.28
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,1.10,2500,19.22
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,1.15,2500,19.01
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,1.20,2500,19.01
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,1.25,2500,19.01
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,1.30,2500,19.04
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,1.35,2500,18.97
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,1.40,2500,18.65
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,1.45,2500,18.74
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,1.50,2500,18.74
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,1.55,2500,18.74
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,1.60,2500,18.74
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,1.65,2500,18.74
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,1.70,2500,18.77
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,1.75,2500,18.74
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,1.80,2500,18.77
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,1.85,2500,18.47
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,1.90,2500,18.47
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,1.95,2500,18.47
PVDF,Carbon nanofibre,6.00,KOH,three electrode system,Swagelok,1.00,83.00,0.39,5.23,252.50,2.00,2500,18.58
PAN/Graphene,CNF(PG800),6.00,KOH,two symmetric CNF,Symmetric supercapacitor cells,0.50,477.15,0.15,5.00,55.00,1.20,100,94.59
PAN/Graphene,CNF(PG800),6.00,KOH,two symmetric CNF,Symmetric supercapacitor cells,0.50,477.15,0.15,5.00,55.00,1.80,100,91.41
PAN/Graphene,CNF(PG800),6.00,KOH,two symmetric CNF,Symmetric supercapacitor cells,0.50,477.15,0.15,5.00,55.00,2.40,100,89.19
PAN/Graphene,CNF(PG800),6.00,KOH,two symmetric CNF,Symmetric supercapacitor cells,0.50,477.15,0.15,5.00,55.00,3.00,100,87.40
PAN/Graphene,CNF(PG800),6.00,KOH,two symmetric CNF,Symmetric supercapacitor cells,0.50,477.15,0.15,5.00,55.00,3.60,100,85.61
PAN/Graphene,CNF(PG800),6.00,KOH,two symmetric CNF,Symmetric supercapacitor cells,0.50,477.15,0.15,5.00,55.00,4.20,100,84.85
PAN/Graphene,CNF(PG800),6.00,KOH,two symmetric CNF,Symmetric supercapacitor cells,0.50,477.15,0.15,5.00,55.00,4.80,100,83.15
PAN/Graphene,CNF(PG800),6.00,KOH,two symmetric CNF,Symmetric supercapacitor cells,0.50,477.15,0.15,5.00,55.00,5.40,100,82.01
PAN/Graphene,CNF(PG800),6.00,KOH,two symmetric CNF,Symmetric supercapacitor cells,0.50,477.15,0.15,5.00,55.00,6.00,100,80.56
PAN/Graphene,CNF(PG800),6.00,KOH,two symmetric CNF,Symmetric supercapacitor cells,0.50,477.15,0.15,5.00,55.00,6.60,100,79.08
PAN/Graphene,CNF(PG800),6.00,KOH,two symmetric CNF,Symmetric supercapacitor cells,0.50,477.15,0.15,5.00,55.00,7.20,100,78.12
PAN/Graphene,CNF(PG800),6.00,KOH,two symmetric CNF,Symmetric supercapacitor cells,0.50,477.15,0.15,5.00,55.00,7.80,100,77.27
PAN/Graphene,CNF(PG800),6.00,KOH,two symmetric CNF,Symmetric supercapacitor cells,0.50,477.15,0.15,5.00,55.00,8.40,100,76.24
PAN/Graphene,CNF(PG800),6.00,KOH,two symmetric CNF,Symmetric supercapacitor cells,0.50,477.15,0.15,5.00,55.00,9.00,100,74.74
PAN/Graphene,CNF(PG800),6.00,KOH,two symmetric CNF,Symmetric supercapacitor cells,0.50,477.15,0.15,5.00,55.00,9.60,100,73.34
PAN/Graphene,CNF(PG800),6.00,KOH,two symmetric CNF,Symmetric supercapacitor cells,0.50,477.15,0.15,5.00,55.00,10.20,100,72.43
PAN/Graphene,CNF(PG800),6.00,KOH,two symmetric CNF,Symmetric supercapacitor cells,0.50,477.15,0.15,5.00,55.00,10.80,100,71.63
PAN/Graphene,CNF(PG800),6.00,KOH,two symmetric CNF,Symmetric supercapacitor cells,0.50,477.15,0.15,5.00,55.00,11.40,100,70.45
PAN/Graphene,CNF(PG800),6.00,KOH,two symmetric CNF,Symmetric supercapacitor cells,0.50,477.15,0.15,5.00,55.00,12.00,100,69.69
